"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","Sha1","PackVersion"
"JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar","False","","NeoForge","jeresources, jei","Just Enough Resources","1.6.0.17","way2muchnoise","","'Don't Be a Jerk' non-commercial care-free license","'Don't Be a Jerk' non-commercial care-free license","Custom - review manually","https://www.curseforge.com/minecraft/mc-mods/just-enough-resources-jer","https://github.com/way2muchnoise/JustEnoughResources/issues","","e739d69b2de31ca8c0cb4691ab08e823f153bc44","v0.0.1-Alpha"
"justzoom_neoforge_2.1.0_MC_1.21.1.jar","False","","NeoForge","justzoom, konkrete, neoforge, minecraft","Just Zoom","2.1.0","Keksuccino","","DSMSLv3 (DON'T SNATCH MA STUFF LICENSE v3)","DSMSLv3 (DON'T SNATCH MA STUFF LICENSE v3)","Custom - review manually","","","","328da50972fa693b8e6f337d4a9560d4a6170ac3","v0.0.1-Alpha"
"keybindbundles-1.3.1.jar","False","","NeoForge","keybindbundles, neoforge, minecraft","KeyBind Bundles","1.3.1","Matyrobbrt","","MIT","MIT","Permissive","","","","f79e5ec268c784ef8eb0e3756602da7ea0ca1c3c","v0.0.1-Alpha"
"KeybindsPurger-1.4.0-neoforge-1.21.1.jar","False","","NeoForge","keybindspurger","KeybindsPurger","1.4.0","ZedDevStuff","","MIT","MIT","Permissive","https://modrinth.com/mod/keybindspurger","https://github.com/ZedDevStuff/KeybindsPurger/issues","","8e1baa9ab8aa4b2efaefd39df54b241bd64533df","v0.0.1-Alpha"
"konkrete_neoforge_1.9.9_MC_1.21.jar","False","","NeoForge","konkrete, neoforge, minecraft","Konkrete","1.9.9","Keksuccino","","Apache-2.0","Apache-2.0","Permissive","","","","97771eb287d5ac7fe667d1df9493d5e54c8ca1fa","v0.0.1-Alpha"
"kotlinforforge-5.11.0-all.jar","False","","Unknown / not a mod","","","","","","","UNDECLARED","Unknown","","","","4d83e8a8e8cb06b306d2cea1e903680fe513f1f3","v0.0.1-Alpha"
"kubejs-create-neoforge-2101.3.1-build.18.jar","False","","NeoForge","kubejs_create, kubejs, create","KubeJS Create","2101.3.1-build.18","latvian.dev","","MIT","MIT","Permissive","https://kubejs.com","https://kubejs.com/support?source=kubejs_create&mc=2101&loader=neoforge","","f54d9ff53909771d27e4d9d135c3707cd5d5f855","v0.0.1-Alpha"
"kubejs-neoforge-2101.7.2-build.368.jar","False","","NeoForge","kubejs, neoforge, rhino, jei, roughlyenoughitems, emi, betteradvancedtooltips","KubeJS","2101.7.2-build.368","latvian.dev","","GNU LGPLv3","LGPL","Weak copyleft","https://kubejs.com","https://kubejs.com/support?source=kubejs&mc=2101&loader=neoforge","","edf131afd474151afe076ea975ce5fec5a206ad8","v0.0.1-Alpha"
"kubejsadditions-neoforge-1.21.1-6.0.0.jar","False","","NeoForge","kubejsadditions, neoforge, kubejs, jei, jade","KubeJS Additions","1.21.1-6.0.0","ILIKEPIEFOO2","","All Rights Reserved","All Rights Reserved","ARR - check terms","https://legacy.curseforge.com/minecraft/mc-mods/kubejs-additions","https://github.com/Hunter19823/kubejsadditions/issues","","a7b90a34b8a56d187fbd957d4353fa80f93a3553","v0.0.1-Alpha"
"kubejstweaks-1.0.6.jar","False","","NeoForge","kubejstweaks, neoforge, minecraft, alltheleaks, kubejs","KubeJS Tweaks","1.0.6","Uncandango","Uncandango","MIT","MIT","Permissive","","","","6548ec47aa6b0498c3018cde40d9d0a203b67446","v0.0.1-Alpha"
